v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
    19.500000                       0.014476          0.000004
    19.600000                       0.014662          0.000004
    19.700000                       0.014854          0.000004
    19.800000                       0.015053          0.000004
    19.900000                       0.015257          0.000004
    20.000000                       0.015469          0.000004
    20.100000                       0.015687          0.000004
    20.200000                       0.015913          0.000004
    20.300000                       0.016147          0.000004
    20.400000                       0.016389          0.000004
    20.500000                       0.016639          0.000004
    20.600000                       0.016898          0.000004
    20.700000                       0.017166          0.000004
    20.800000                       0.017444          0.000005
    20.900000                       0.017733          0.000005
    21.000000                       0.018032          0.000005
    21.100000                       0.018343          0.000005
    21.200000                       0.018666          0.000005
    21.300000                       0.019002          0.000005
    21.400000                       0.019351          0.000005
    21.500000                       0.019714          0.000005
    21.600000                       0.020093          0.000005
    21.700000                       0.020487          0.000005
    21.800000                       0.020898          0.000005
    21.900000                       0.021327          0.000006
    22.000000                       0.021775          0.000006
    22.100000                       0.022243          0.000006
    22.200000                       0.022732          0.000006
    22.300000                       0.023244          0.000006
    22.400000                       0.023780          0.000006
    22.500000                       0.024342          0.000006
    22.600000                       0.024931          0.000007
    22.700000                       0.025549          0.000007
    22.800000                       0.026199          0.000007
    22.900000                       0.026883          0.000007
    23.000000                       0.027602          0.000007
    23.100000                       0.028360          0.000007
    23.200000                       0.029160          0.000008
    23.300000                       0.030004          0.000008
    23.400000                       0.030896          0.000008
    23.500000                       0.031840          0.000008
    23.600000                       0.032840          0.000009
    23.700000                       0.033901          0.000009
    23.800000                       0.035027          0.000009
    23.900000                       0.036225          0.000009
    24.000000                       0.037500          0.000010
    24.100000                       0.038859          0.000010
    24.200000                       0.040311          0.000011
    24.300000                       0.041864          0.000011
    24.400000                       0.043527          0.000011
    24.500000                       0.045311          0.000012
    24.600000                       0.047228          0.000012
    24.700000                       0.049293          0.000013
    24.800000                       0.051521          0.000013
    24.900000                       0.053929          0.000014
    25.000000                       0.056538          0.000015
    25.100000                       0.059371          0.000016
    25.200000                       0.062454          0.000016
    25.300000                       0.065817          0.000017
    25.400000                       0.069497          0.000018
    25.500000                       0.073534          0.000019
    25.600000                       0.077976          0.000020
    25.700000                       0.082878          0.000022
    25.800000                       0.088308          0.000023
