v [cm$^{-1}$]    I [$\AA^{4}$ amu$^{-1}$]
    28.596154                    4.245601
    28.600797                    3.724356
    65.941815                   17.660479
    65.953727                   19.651663
    93.516505                   76.443641
    93.519081                   76.982938
    96.890024                   47.707665
   105.537887                    0.451137
   105.567227                    1.207343
   129.915843                   16.255944
   135.676242                    2.664061
   207.422076                   54.634636
   344.859098                 3083.281673
   358.176047                    0.303150
   358.177755                    0.380385
