Angle,PSD
12.0375,29
12.0529,27
12.0682,34
12.0835,26
12.0989,33
12.1142,17
12.1295,41
12.1448,29
12.1602,30
12.1755,28
12.1908,23
12.2062,32
12.2215,30
12.2368,36
12.2522,27
12.2675,39
12.2828,26
12.2982,27
12.3135,32
12.3288,18
12.3442,29
12.3595,24
12.3748,33
12.3902,26
12.4055,30
12.4208,36
12.4362,26
12.4515,23
12.4668,25
12.4822,19
12.4975,25
12.5128,26
12.5282,27
12.5435,24
12.5588,29
12.5741,21
12.5895,25
12.6048,31
12.6201,24
12.6355,28
12.6508,28
12.6661,22
12.6815,34
12.6968,21
12.7121,28
12.7275,23
12.7428,32
12.7581,31
12.7735,21
12.7888,22
12.8041,18
12.8195,26
12.8348,36
12.8501,27
12.8655,30
12.8808,21
12.8961,24
12.9115,25
12.9268,26
12.9421,31
12.9574,27
12.9728,28
12.9881,26
13.0034,33
13.0188,23
13.0341,20
13.0494,30
13.0648,19
13.0801,25
13.0954,26
13.1108,25
13.1261,21
13.1414,25
13.1568,24
13.1721,24
13.1874,34
13.2028,25
13.2181,23
13.2334,19
13.2488,20
13.2641,32
13.2794,29
13.2948,25
13.3101,32
13.3254,34
13.3408,26
13.3561,24
13.3714,21
13.3867,27
13.4021,23
13.4174,25
13.4327,18
13.4481,22
13.4634,13
13.4787,25
13.4941,23
13.5094,32
13.5247,19
13.5401,21
13.5554,25
13.5707,23
13.5861,27
13.6014,27
13.6167,21
13.6321,16
13.6474,19
13.6627,27
13.6781,17
13.6934,44
13.7087,27
13.7241,21
13.7394,25
13.7547,31
13.77,22
13.7854,21
13.8007,42
13.816,40
13.8314,31
13.8467,40
13.862,24
13.8774,32
13.8927,44
13.908,38
13.9234,36
13.9387,29
13.954,30
13.9694,32
13.9847,28
14,30
14.0154,31
14.0307,31
14.046,32
14.0614,23
14.0767,22
14.092,30
14.1074,20
14.1227,28
14.138,21
14.1534,24
14.1687,20
14.184,28
14.1993,29
14.2147,22
14.23,23
14.2453,20
14.2607,21
14.276,30
14.2913,29
14.3067,29
14.322,39
14.3373,16
14.3527,25
14.368,19
14.3833,27
14.3987,25
14.414,28
14.4293,32
14.4447,17
14.46,22
14.4753,24
14.4907,35
14.506,24
14.5213,28
14.5367,21
14.552,18
14.5673,24
14.5826,19
14.598,19
14.6133,24
14.6286,41
14.644,32
14.6593,26
14.6746,32
14.69,33
14.7053,35
14.7206,36
14.736,28
14.7513,25
14.7666,21
14.782,26
14.7973,25
14.8126,34
14.828,32
14.8433,22
14.8586,24
14.874,27
14.8893,27
14.9046,33
14.92,22
14.9353,15
14.9506,33
14.966,24
14.9813,29
14.9966,30
15.0119,23
15.0273,27
15.0426,29
15.0579,21
15.0733,25
15.0886,23
15.1039,27
15.1193,26
15.1346,24
15.1499,17
15.1653,33
15.1806,23
15.1959,15
15.2113,26
15.2266,17
15.2419,28
15.2573,22
15.2726,19
15.2879,17
15.3033,15
15.3186,31
15.3339,16
15.3493,20
15.3646,21
15.3799,21
15.3952,19
15.4106,29
15.4259,25
15.4412,31
15.4566,27
15.4719,18
15.4872,24
15.5026,16
15.5179,27
15.5332,18
15.5486,20
15.5639,21
15.5792,26
15.5946,27
15.6099,20
15.6252,21
15.6406,17
15.6559,28
15.6712,28
15.6866,31
15.7019,26
15.7172,19
15.7326,26
15.7479,22
15.7632,30
15.7786,20
15.7939,32
15.8092,27
15.8245,29
15.8399,28
15.8552,20
15.8705,33
15.8859,17
15.9012,35
15.9165,23
15.9319,26
15.9472,23
15.9625,17
15.9779,28
15.9932,25
16.0085,20
16.0239,25
16.0392,23
16.0545,29
16.0699,18
16.0852,22
16.1005,25
16.1159,22
16.1312,25
16.1465,23
16.1619,25
16.1772,32
16.1925,18
16.2078,21
16.2232,20
16.2385,29
16.2538,31
16.2692,27
16.2845,12
16.2998,26
16.3152,26
16.3305,24
16.3458,14
16.3612,26
16.3765,19
16.3918,20
16.4072,16
16.4225,18
16.4378,17
16.4532,24
16.4685,8
16.4838,26
16.4992,18
16.5145,16
16.5298,12
16.5452,20
16.5605,24
16.5758,28
16.5912,31
16.6065,20
16.6218,23
16.6371,20
16.6525,21
16.6678,29
16.6831,16
16.6985,26
16.7138,22
16.7291,30
16.7445,31
16.7598,23
16.7751,19
16.7905,25
16.8058,22
16.8211,20
16.8365,21
16.8518,16
16.8671,20
16.8825,24
16.8978,16
16.9131,27
16.9285,26
16.9438,22
16.9591,28
16.9745,14
16.9898,24
17.0051,21
17.0204,16
17.0358,25
17.0511,18
17.0664,22
