theta,int,idk
3.120000,0.01842,0.00000
3.130000,0.01831,0.00000
3.140000,0.01821,0.00000
3.150000,0.01811,0.00000
3.160000,0.01801,0.00000
3.170000,0.01791,0.00000
3.180000,0.01781,0.00000
3.190000,0.01772,0.00000
3.200000,0.01762,0.00000
3.210000,0.01753,0.00000
3.220000,0.01743,0.00000
3.230000,0.01734,0.00000
3.240000,0.01724,0.00000
3.250000,0.01715,0.00000
3.260000,0.01706,0.00000
3.270000,0.01697,0.00000
3.280000,0.01688,0.00000
3.290000,0.01679,0.00000
3.300000,0.01671,0.00000
3.310000,0.01662,0.00000
3.320000,0.01653,0.00000
3.330000,0.01645,0.00000
3.340000,0.01636,0.00000
3.350000,0.01628,0.00000
3.360000,0.01619,0.00000
3.370000,0.01611,0.00000
3.380000,0.01603,0.00000
3.390000,0.01595,0.00000
3.400000,0.01587,0.00000
3.410000,0.01579,0.00000
3.420000,0.01571,0.00000
3.430000,0.01563,0.00000
3.440000,0.01555,0.00000
3.450000,0.01547,0.00000
3.460000,0.01540,0.00000
3.470000,0.01532,0.00000
3.480000,0.01525,0.00000
3.490000,0.01517,0.00000
3.500000,0.01510,0.00000
3.510000,0.01502,0.00000
3.520000,0.01495,0.00000
3.530000,0.01488,0.00000
3.540000,0.01481,0.00000
3.550000,0.01474,0.00000
3.560000,0.01467,0.00000
3.570000,0.01460,0.00000
3.580000,0.01453,0.00000
3.590000,0.01446,0.00000
3.600000,0.01439,0.00000
3.610000,0.01432,0.00000
3.620000,0.01425,0.00000
3.630000,0.01419,0.00000
3.640000,0.01412,0.00000
3.650000,0.01406,0.00000
3.660000,0.01399,0.00000
3.670000,0.01393,0.00000
3.680000,0.01386,0.00000
3.690000,0.01380,0.00000
3.700000,0.01374,0.00000
3.710000,0.01367,0.00000
3.720000,0.01361,0.00000
3.730000,0.01355,0.00000
3.740000,0.01349,0.00000
3.750000,0.01343,0.00000
3.760000,0.01337,0.00000
3.770000,0.01331,0.00000
3.780000,0.01325,0.00000
3.790000,0.01319,0.00000
3.800000,0.01313,0.00000
3.810000,0.01308,0.00000
3.820000,0.01302,0.00000
3.830000,0.01296,0.00000
3.840000,0.01291,0.00000
3.850000,0.01285,0.00000
3.860000,0.01279,0.00000
3.870000,0.01274,0.00000
3.880000,0.01268,0.00000
3.890000,0.01263,0.00000
3.900000,0.01258,0.00000
3.910000,0.01252,0.00000
3.920000,0.01247,0.00000
3.930000,0.01242,0.00000
3.940000,0.01236,0.00000
3.950000,0.01231,0.00000
3.960000,0.01226,0.00000
3.970000,0.01221,0.00000
3.980000,0.01216,0.00000
3.990000,0.01211,0.00000
4.000000,0.01206,0.00000
4.010000,0.01201,0.00000
4.020000,0.01196,0.00000
4.030000,0.01191,0.00000
4.040000,0.01186,0.00000
4.050000,0.01181,0.00000
4.060000,0.01177,0.00000
4.070000,0.01172,0.00000
4.080000,0.01167,0.00000
4.090000,0.01162,0.00000
4.100000,0.01158,0.00000
4.110000,0.01153,0.00000
4.120000,0.01148,0.00000
4.130000,0.01144,0.00000
4.140000,0.01139,0.00000
4.150000,0.01135,0.00000
4.160000,0.01130,0.00000
4.170000,0.01126,0.00000
4.180000,0.01122,0.00000
4.190000,0.01117,0.00000
4.200000,0.01113,0.00000
4.210000,0.01109,0.00000
4.220000,0.01104,0.00000
4.230000,0.01100,0.00000
4.240000,0.01096,0.00000
4.250000,0.01092,0.00000
4.260000,0.01087,0.00000
4.270000,0.01083,0.00000
4.280000,0.01079,0.00000
4.290000,0.01075,0.00000
4.300000,0.01071,0.00000
4.310000,0.01067,0.00000
4.320000,0.01063,0.00000
4.330000,0.01059,0.00000
4.340000,0.01055,0.00000
4.350000,0.01051,0.00000
4.360000,0.01047,0.00000
4.370000,0.01044,0.00000
4.380000,0.01040,0.00000
4.390000,0.01036,0.00000
4.400000,0.01032,0.00000
4.410000,0.01028,0.00000
4.420000,0.01025,0.00000
4.430000,0.01021,0.00000
4.440000,0.01017,0.00000
4.450000,0.01014,0.00000
4.460000,0.01010,0.00000
4.470000,0.01006,0.00000
4.480000,0.01003,0.00000
4.490000,0.00999,0.00000
4.500000,0.00996,0.00000
4.510000,0.00992,0.00000
4.520000,0.00989,0.00000
4.530000,0.00985,0.00000
4.540000,0.00982,0.00000
4.550000,0.00978,0.00000
4.560000,0.00975,0.00000
4.570000,0.00972,0.00000
4.580000,0.00968,0.00000
4.590000,0.00965,0.00000
4.600000,0.00961,0.00000
4.610000,0.00958,0.00000
4.620000,0.00955,0.00000
4.630000,0.00952,0.00000
4.640000,0.00948,0.00000
4.650000,0.00945,0.00000
4.660000,0.00942,0.00000
4.670000,0.00939,0.00000
4.680000,0.00936,0.00000
4.690000,0.00933,0.00000
4.700000,0.00929,0.00000
4.710000,0.00926,0.00000
4.720000,0.00923,0.00000
4.730000,0.00920,0.00000
4.740000,0.00917,0.00000
4.750000,0.00914,0.00000
4.760000,0.00911,0.00000
4.770000,0.00908,0.00000
4.780000,0.00905,0.00000
4.790000,0.00902,0.00000
4.800000,0.00899,0.00000
4.810000,0.00897,0.00000
4.820000,0.00894,0.00000
4.830000,0.00891,0.00000
4.840000,0.00888,0.00000
4.850000,0.00885,0.00000
4.860000,0.00882,0.00000
4.870000,0.00879,0.00000
4.880000,0.00877,0.00000
4.890000,0.00874,0.00000
4.900000,0.00871,0.00000
4.910000,0.00868,0.00000
4.920000,0.00866,0.00000
4.930000,0.00863,0.00000
4.940000,0.00860,0.00000
4.950000,0.00858,0.00000
4.960000,0.00855,0.00000
4.970000,0.00852,0.00000
4.980000,0.00850,0.00000
4.990000,0.00847,0.00000
5.000000,0.00845,0.00000
5.010000,0.00842,0.00000
5.020000,0.00839,0.00000
5.030000,0.00837,0.00000
5.040000,0.00834,0.00000
5.050000,0.00832,0.00000
5.060000,0.00829,0.00000
5.070000,0.00827,0.00000
5.080000,0.00824,0.00000
5.090000,0.00822,0.00000
5.100000,0.00820,0.00000
5.110000,0.00817,0.00000
5.120000,0.00815,0.00000
5.130000,0.00812,0.00000
5.140000,0.00810,0.00000
5.150000,0.00808,0.00000
5.160000,0.00805,0.00000
5.170000,0.00803,0.00000
5.180000,0.00801,0.00000
5.190000,0.00798,0.00000
5.200000,0.00796,0.00000
5.210000,0.00794,0.00000
5.220000,0.00791,0.00000
5.230000,0.00789,0.00000
