,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3,z_Ba_layer4,z_S_layer4,z_diff_layer4,z_Ba_layer5,z_S_layer5,z_diff_layer5
0,0,1.0,1.2190526634027778,0.8868966072222254,0.33215605618055244,5.997204470902777,5.949728269513888,0.047476201388889194,10.962411045833335,10.956883338611112,0.005527707222222844,15.953867391458333,15.960914983680558,-0.007047592222225063,20.920164176249997,20.967735365833335,-0.04757118958333706,25.698966065972222,26.03061336826389,-0.3316473022916675
1,1,6.0201005025125625,1.2189063039583334,0.8866443997222285,0.3322619042361049,5.9969587975694445,5.9491917334027775,0.047767064166666984,10.962485519513889,10.95664177625,0.005843743263888257,15.95408589423611,15.9611324875,-0.007046593263890344,20.920807748819445,20.968446686944446,-0.04763893812500086,25.69914577715278,26.031260810833334,-0.33211503368055517
2,2,11.040201005025125,1.219948229375,0.8867177646527804,0.3332304647222195,5.997395887847222,5.9497158881250005,0.04767999972222192,10.962900776041668,10.95702840236111,0.005872373680556819,15.954520543541669,15.961515676111112,-0.006995132569443285,20.921120466111113,20.968847821875002,-0.047727355763889534,25.699149608958333,26.031829695833334,-0.3326800868750013
3,3,16.060301507537687,1.2200932235416666,0.8857612363888949,0.3343319871527717,5.996611868055556,5.9491944836805555,0.04741738437500054,10.962413122083333,10.956943981458332,0.005469140625001145,15.954976375694445,15.961709875347221,-0.006733499652776587,20.921137528680557,20.969008920416666,-0.047871391736109103,25.69844053986111,26.032237210625002,-0.33379667076389197
4,4,21.08040201005025,1.2201132472222223,0.8850178745833419,0.33509537263888034,5.995647639305556,5.948829888194444,0.04681775111111186,10.962681342430557,10.956878302083332,0.005803040347224453,15.955021738333333,15.961561223680556,-0.006539485347223817,20.921509730069445,20.969315519374998,-0.04780578930555279,25.69844374173611,26.033041185486113,-0.33459744375000255
5,5,26.100502512562812,1.2213389727777777,0.8851046275000063,0.3362343452777714,5.996249230347222,5.949344808611111,0.046904421736110535,10.963500108472223,10.957601616458334,0.005898492013889367,15.956356909236112,15.962257999305557,-0.0059010900694449475,20.922114838958336,20.969906817986114,-0.0477919790277781,25.69777636513889,26.033953329305557,-0.3361769641666683
6,6,31.120603015075375,1.2209187965972221,0.8831998589583363,0.33771893763888583,5.994957951388889,5.947823598888888,0.04713435250000053,10.962718201527776,10.95661255951389,0.006105642013887191,15.956067125972222,15.961840214444445,-0.005773088472222909,20.922604033125,20.969924506111113,-0.04732047298611164,25.697419476249998,26.03376615611111,-0.3363466798611121
7,7,36.14070351758794,1.2230450067361112,0.8837074560416719,0.33933755069443927,5.99562457375,5.948556734444444,0.047067839305555914,10.964162576527778,10.957631705,0.006530871527777649,15.957358258124998,15.963188754027776,-0.005830495902777955,20.925132562847224,20.972080991875,-0.04694842902777552,25.698023088541667,26.035777818402778,-0.33775472986111055
8,8,41.1608040201005,1.2224610265277778,0.8823522658333363,0.3401087606944415,5.994036898819445,5.947466774166666,0.046570124652778766,10.963213845208335,10.95685062298611,0.006363222222224962,15.956897534305556,15.962787337777778,-0.0058898034722218995,20.92430899888889,20.971251205,-0.04694220611111177,25.695718573125003,26.034228431597224,-0.3385098584722215
9,9,46.18090452261306,1.2229166449305555,0.8806018119444492,0.3423148329861063,5.991927137847223,5.945973482638889,0.04595365520833372,10.961664038541667,10.955410461944446,0.0062535765972207,15.955642609791669,15.961679594444446,-0.006036984652777022,20.92379242173611,20.970137813819445,-0.04634539208333521,25.694558853333334,26.03431144604167,-0.33975259270833646
