,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3
0,0,1.0,1.285033890625,0.8490520461328408,0.43598184449215927,5.929528224296876,5.865091842226564,0.06443638207031199,10.754629294179688,10.81889977402344,-0.064270479843751,15.399133202226565,15.83484626390625,-0.43571306167968515
1,1,6.0201005025125625,1.2850359644921876,0.8493117317187782,0.43572423277340944,5.929838773632813,5.865227928398438,0.06461084523437499,10.754940938515624,10.81882768652344,-0.0638867480078158,15.399400652578127,15.8349130915625,-0.4355124389843734
2,2,11.040201005025125,1.2847937861718752,0.8495988226562781,0.43519496351559717,5.9298534154296885,5.865531323710938,0.06432209171875058,10.755233018359377,10.819000530859377,-0.06376751250000012,15.399783270742189,15.835087355664061,-0.43530408492187256
3,3,16.060301507537687,1.2849377315625001,0.8498881307422138,0.4350496008202863,5.930178943242188,5.865743067578125,0.0644358756640635,10.755109683320313,10.818833719726562,-0.06372403640624924,15.400202801640626,15.834887759843753,-0.43468495820312647
4,4,21.08040201005025,1.284574554140625,0.8501381554297138,0.4344363987109112,5.92980873,5.865846614023438,0.06396211597656265,10.754889099882813,10.818623419921876,-0.0637343200390621,15.40051644839844,15.834420112382814,-0.4339036639843741
5,5,26.100502512562812,1.2844119853515625,0.8505842027344018,0.4338277826171607,5.929589422539062,5.8660746744140635,0.06351474812499891,10.755108331015625,10.818761034257811,-0.06365270324218564,15.400928713164063,15.833987670546875,-0.4330589573828121
6,6,31.120603015075375,1.2843860601171875,0.8509557622265889,0.4334302978905986,5.9297861328125006,5.866384638554688,0.06340149425781227,10.75556636246094,10.819146776054689,-0.06358041359374944,15.400972322656251,15.833947151054687,-0.4329748283984358
7,7,36.14070351758794,1.2836123725000002,0.8511324773047144,0.43247989519528574,5.928955290546876,5.866117698671875,0.0628375918750006,10.75582519546875,10.819381010468751,-0.06355581500000085,15.401673462031251,15.833737252226564,-0.43206379019531305
8,8,41.1608040201005,1.2830796773437503,0.8515734050390893,0.431506272304661,5.929478033242188,5.865905234375001,0.06357279886718725,10.756679750390624,10.819223623320315,-0.06254387292969099,15.401857320859378,15.833804943984376,-0.4319476231249979
9,9,46.18090452261306,1.2824246639453127,0.8511797217187762,0.43124494222653653,5.929659572539062,5.865767477968751,0.06389209457031164,10.756976547695313,10.819136169023437,-0.06215962132812436,15.402079231875001,15.833661791796874,-0.431582559921873
10,10,51.201005025125625,1.2823236427734375,0.8513407920703402,0.4309828507030973,5.929186151445313,5.865567955585938,0.0636181958593749,10.7572962390625,10.818694415585938,-0.06139817652343815,15.402166265664064,15.833271205625,-0.43110493996093524
11,11,56.22110552763819,1.2813296404296877,0.8510581978515904,0.43027144257809724,5.929009857148438,5.865176306289063,0.06383355085937481,10.757488036601565,10.818365105039064,-0.06087706843749885,15.402565620859377,15.832769029609375,-0.43020340874999796
12,12,61.24120603015075,1.280223019140625,0.8507151298828397,0.42950788925778527,5.928435218828126,5.8647362639843745,0.06369895484375121,10.757436645,10.818286071250002,-0.06084942625000167,15.403552416601563,15.832421213203126,-0.42886879660156296
13,13,66.26130653266331,1.2794838541015625,0.8517770060156532,0.4277068480859093,5.9285293374218755,5.864818960156251,0.06371037726562445,10.75720532375,10.818016090820315,-0.06081076707031485,15.404599267578126,15.83246404464844,-0.42786477707031345
14,14,71.28140703517587,1.2793736042578125,0.8526000384765883,0.4267735657812243,5.929771750585938,5.8654123241015625,0.06435942648437543,10.756699812265627,10.818525952617186,-0.061826140351559644,15.405633804375,15.832212743046876,-0.42657893867187546
15,15,76.30150753768844,1.2789189761328128,0.852959621171901,0.42595935496091175,5.929563257343751,5.865644650039062,0.06391860730468846,10.757227543632812,10.818692361875001,-0.06146481824218952,15.406689266601564,15.832965770039063,-0.42627650343749934
16,16,81.321608040201,1.2791809294921874,0.8536537670703415,0.42552716242184596,5.930084130820313,5.866555764804687,0.06352836601562561,10.757452989921877,10.81883188527344,-0.061378895351563045,15.406325839492188,15.83216117042969,-0.4258353309375007
17,17,86.34170854271356,1.2779899765234377,0.8531376494531495,0.4248523270702882,5.92894571859375,5.866252939101562,0.06269277949218832,10.756342990742189,10.818765257070313,-0.062422266328123754,15.40554927046875,15.831200346445314,-0.42565107597656393
18,18,91.36180904522612,1.2777327284765625,0.8539832096875263,0.4237495187890362,5.928632093514161,5.866624048437501,0.062008045076660245,10.75742595058594,10.81904546453125,-0.061619513945309734,15.405573562265626,15.831868222539065,-0.4262946602734381
19,19,96.38190954773869,1.2776960588671877,0.8535217396094044,0.42417431925778337,5.928447392226563,5.866720460429688,0.061726931796874496,10.758248862304686,10.819876306640626,-0.06162744433594014,15.406609302851564,15.832669184960938,-0.4260598821093744
20,20,101.40201005025125,1.2775350503515626,0.8540586551953397,0.4234763951562228,5.928030436718751,5.866858989023438,0.061171447695312686,10.759165033866456,10.820637527382813,-0.06147249351635686,15.407319301328126,15.833479038476565,-0.42615973714843847
