,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2,z_Ba_layer3,z_S_layer3,z_diff_layer3,z_Ba_layer4,z_S_layer4,z_diff_layer4
0,0,1.0,1.2308662433333335,0.8879013147222413,0.3429649286110922,5.991987055972222,5.94683361625,0.04515343972222219,10.949895213750002,10.9498197675,7.544625000299732e-05,15.908017378125,15.953141645,-0.04512426687499982,20.66943127125,21.01261568166667,-0.3431844104166686
1,1,6.0201005025125625,1.2304163954861111,0.8870271740278002,0.34338922145831097,5.991233917569445,5.946024180833334,0.04520973673611106,10.949477255416667,10.949365889236113,0.00011136618055473946,15.908165012916665,15.952633580902777,-0.04446856798611165,20.668223528958336,21.011798591111113,-0.34357506215277667
2,2,11.040201005025125,1.231959571111111,0.8878482950694657,0.3441112760416454,5.992405520555555,5.947181214375,0.04522430618055484,10.951145561180555,10.950804727222222,0.0003408339583330644,15.909483271180553,15.954447068333334,-0.044963797152780316,20.669213918263885,21.013752261111115,-0.34453834284722973
3,3,16.060301507537687,1.2324503995833334,0.887189034930572,0.34526136465276136,5.991756804374999,5.947061327638888,0.04469547673611096,10.951373440416667,10.950900346527778,0.00047309388888905346,15.910252802500004,15.954906018055558,-0.04465321555555413,20.66913681277778,21.014791717569448,-0.3456549047916688
4,4,21.08040201005025,1.2323010396527776,0.8856877389583508,0.34661330069442675,5.989962428055555,5.9457924645138895,0.04416996354166525,10.950013267986112,10.949851069166666,0.0001621988194457913,15.90924176826389,15.954171400972225,-0.044929632708335276,20.667455799236112,21.014604055069444,-0.3471482558333321
5,5,26.100502512562812,1.23377705125,0.8851889784722347,0.34858807277776527,5.989875496944445,5.945715854305556,0.044159642638889274,10.950630614861112,10.950080850347224,0.0005497645138881069,15.910284659375002,15.954919171180556,-0.044634511805554666,20.667773326805555,21.015974339652775,-0.3482010128472197
6,6,31.120603015075375,1.2335221766666669,0.8835469271527945,0.3499752495138724,5.988589365416667,5.944226521319445,0.04436284409722191,10.949341357361114,10.949201988402779,0.0001393689583348845,15.9102241675,15.954192287847222,-0.043968120347223305,20.666724837222223,21.01591632597222,-0.34919148874999806
7,7,36.14070351758794,1.232787489513889,0.8816201572222452,0.3511673322916439,5.987551524722223,5.942917234652778,0.04463429006944519,10.948666498194447,10.948551547708334,0.00011495048611287473,15.910127028611113,15.954343116458334,-0.04421608784722153,20.665581916041667,21.01650815138889,-0.3509262353472238
8,8,41.1608040201005,1.234279479375,0.8807073452777989,0.3535721340972011,5.986448757430555,5.9426707329861115,0.04377802444444345,10.948549074722223,10.948671332430557,-0.00012225770833396155,15.911111158888891,15.954567083402777,-0.04345592451388569,20.665320868055556,21.017311376736114,-0.3519905086805579
9,9,46.18090452261306,1.235127589236111,0.8813489144444665,0.3537786747916446,5.986538313611111,5.943443890625001,0.043094422986110104,10.95019237888889,10.94992640402778,0.00026597486110979673,15.912280882638887,15.956135326805558,-0.04385444416667106,20.665228271319442,21.019538807569443,-0.35431053625000075
10,10,51.201005025125625,1.2352497070833333,0.8799029553472462,0.3553467517360871,5.985717075833334,5.943068229166667,0.04264884666666635,10.950468593055556,10.949541765972223,0.0009268270833331371,15.912483869305557,15.956462094652778,-0.043978225347220956,20.66363635798611,21.02018130222222,-0.3565449442361093
11,11,56.22110552763819,1.2362191899325419,0.8792368522916779,0.35698233764086396,5.985499265277777,5.942617963749999,0.04288130152777825,10.949749294027777,10.949900043749999,-0.00015074972222173244,15.913421859791665,15.957178591111111,-0.04375673131944602,20.66296070138889,21.021303467847222,-0.35834276645833185
12,12,61.24120603015075,1.2358836104166668,0.8771083762500148,0.358775234166652,5.984662401736112,5.941497170833333,0.043165230902778795,10.94935719423611,10.949568997569445,-0.0002118033333342595,15.913682748611112,15.957744881250001,-0.044062132638888585,20.66210380319643,21.021875846666667,-0.3597720434702367
13,13,66.26130653266331,1.2376719609027778,0.8759980475000213,0.36167391340275645,5.984761634652778,5.940754659166667,0.04400697548611099,10.9488278625,10.949277595555555,-0.00044973305555551235,15.913483005486114,15.957797891944445,-0.044314886458330704,20.660908239932542,21.021549058541666,-0.36064081860912367
14,14,71.28140703517587,1.2393419686805556,0.875547777777792,0.36379419090276355,5.984336446944444,5.940208563055555,0.044127883888888775,10.947917650138889,10.949190612708334,-0.0012729625694447577,15.914537912222224,15.95857025513889,-0.04403234291666536,20.661192926601196,21.02314265486111,-0.36194972825991556
