Angle,PSD
5.0001,34
5.01543,31
5.03076,39
5.0461,21
5.06143,36
5.07676,34
5.09209,46
5.10742,36
5.12276,44
5.13809,39
5.15342,27
5.16875,31
5.18408,36
5.19942,35
5.21475,36
5.23008,35
5.24541,28
5.26075,40
5.27608,42
5.29141,23
5.30674,34
5.32207,39
5.33741,36
5.35274,40
5.36807,45
5.3834,44
5.39873,32
5.41407,39
5.4294,32
5.44473,28
5.46006,42
5.47539,35
5.49073,36
5.50606,31
5.52139,46
5.53672,40
5.55205,37
5.56739,24
5.58272,30
5.59805,35
5.61338,32
5.62872,27
5.64405,37
5.65938,27
5.67471,43
5.69004,30
5.70538,40
5.72071,36
5.73604,28
5.75137,40
5.7667,29
5.78204,35
5.79737,24
5.8127,23
5.82803,33
5.84336,37
5.8587,38
5.87403,33
5.88936,33
5.90469,25
5.92002,22
5.93536,29
5.95069,29
5.96602,23
5.98135,28
5.99669,31
6.01202,29
6.02735,37
6.04268,20
6.05801,29
6.07335,30
6.08868,26
6.10401,27
6.11934,23
6.13467,36
6.15001,29
6.16534,15
6.18067,28
6.196,22
6.21133,25
6.22667,20
6.242,30
6.25733,31
6.27266,31
6.28799,30
6.30333,20
6.31866,39
6.33399,26
6.34932,19
6.36466,17
6.37999,24
6.39532,34
6.41065,25
6.42598,24
6.44132,24
6.45665,21
6.47198,17
6.48731,22
6.50264,23
6.51798,19
6.53331,20
6.54864,20
6.56397,21
6.5793,13
6.59464,21
6.60997,22
6.6253,26
6.64063,33
6.65596,20
6.6713,21
6.68663,16
6.70196,10
6.71729,20
6.73262,22
6.74796,22
6.76329,19
6.77862,20
6.79395,15
6.80929,23
6.82462,23
6.83995,20
6.85528,27
6.87061,24
6.88595,24
6.90128,29
6.91661,32
6.93194,27
6.94727,41
6.96261,41
6.97794,54
6.99327,45
7.0086,69
7.02393,64
7.03927,39
7.0546,19
7.06993,26
7.08526,23
7.10059,24
7.11593,15
7.13126,22
7.14659,25
7.16192,18
7.17726,24
7.19259,21
7.20792,11
7.22325,23
7.23858,16
7.25392,21
7.26925,28
7.28458,18
7.29991,25
7.31524,16
7.33058,18
7.34591,24
7.36124,17
7.37657,21
7.3919,15
7.40724,24
7.42257,23
7.4379,20
7.45323,18
7.46856,12
7.4839,15
7.49923,9
7.51456,23
7.52989,16
7.54523,13
7.56056,19
7.57589,16
7.59122,17
7.60655,14
7.62189,19
7.63722,15
7.65255,23
7.66788,18
7.68321,25
7.69855,19
7.71388,12
7.72921,16
7.74454,19
7.75987,10
7.77521,24
7.79054,20
7.80587,25
7.8212,17
7.83653,16
7.85187,20
7.8672,13
7.88253,15
7.89786,18
7.9132,12
7.92853,15
7.94386,16
7.95919,15
7.97452,12
7.98986,18
8.00519,14
8.02052,15
8.03585,21
8.05118,14
8.06652,28
8.08185,20
8.09718,15
8.11251,16
8.12784,11
8.14318,14
8.15851,17
8.17384,23
8.18917,15
8.2045,11
8.21984,16
8.23517,13
8.2505,12
8.26583,17
8.28116,22
8.2965,16
8.31183,20
8.32716,14
8.34249,26
8.35783,24
8.37316,14
8.38849,23
8.40382,17
8.41915,14
8.43449,21
8.44982,17
8.46515,15
8.48048,17
8.49581,12
8.51115,13
8.52648,17
8.54181,17
8.55714,16
8.57247,20
8.58781,14
8.60314,23
8.61847,12
8.6338,21
8.64913,20
8.66447,19
8.6798,15
8.69513,15
8.71046,11
8.7258,14
8.74113,20
8.75646,21
8.77179,19
8.78712,13
8.80246,10
8.81779,12
8.83312,20
8.84845,16
8.86378,15
8.87912,22
8.89445,15
8.90978,20
8.92511,27
8.94044,19
8.95578,24
8.97111,9
8.98644,18
9.00177,24
9.0171,19
9.03244,15
9.04777,17
9.0631,10
9.07843,13
9.09377,23
9.1091,21
9.12443,17
9.13976,19
9.15509,18
9.17043,22
9.18576,12
9.20109,22
9.21642,20
9.23175,15
9.24709,17
9.26242,27
9.27775,31
9.29308,18
9.30841,15
9.32375,14
9.33908,26
9.35441,8
9.36974,26
9.38507,20
9.40041,25
9.41574,16
9.43107,24
9.4464,29
9.46173,15
9.47707,16
9.4924,22
9.50773,20
9.52306,27
9.5384,25
9.55373,21
9.56906,20
9.58439,27
9.59972,15
9.61506,21
9.63039,21
9.64572,24
9.66105,21
9.67638,28
9.69172,31
9.70705,20
9.72238,19
9.73771,20
9.75304,22
9.76838,23
9.78371,24
9.79904,23
9.81437,22
9.8297,22
9.84504,25
9.86037,32
9.8757,22
9.89103,18
9.90637,24
9.9217,27
9.93703,31
9.95236,20
9.96769,15
9.98303,19
9.99836,20
10.0137,21
10.029,28
10.0444,16
10.0597,25
10.075,30
10.0904,19
10.1057,19
10.121,29
10.1363,22
10.1517,25
10.167,29
10.1823,26
10.1977,28
10.213,20
10.2283,32
10.2437,31
10.259,27
10.2743,26
10.2897,22
10.305,25
10.3203,26
10.3357,34
10.351,18
10.3663,33
10.3817,29
10.397,32
10.4123,25
10.4277,33
10.443,19
10.4583,27
10.4737,26
10.489,20
10.5043,19
10.5196,33
10.535,25
10.5503,20
10.5656,18
10.581,18
