,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1
0,0,1.0,1.239456384475,0.8935587520750233,0.3458976323999766,5.6137436827250005,5.9598241006,-0.3460804178749992
1,1,6.0201005025125625,1.2386561932,0.8929793175250245,0.3456768756749755,5.61357831795,5.959273423100001,-0.3456951051500008
2,2,11.040201005025125,1.2387325681999999,0.8931013871750263,0.3456311810249736,5.613724218375,5.9593376533499995,-0.3456134349749993
3,3,16.060301507537687,1.2377085088750002,0.8925315977750248,0.3451769110999754,5.613307874175,5.9585279541750005,-0.3452200800000007
4,4,21.08040201005025,1.2372708814250002,0.8924780698500256,0.34479281157497454,5.613178561825,5.958239542475001,-0.34506098065000046
5,5,26.100502512562812,1.23806447485,0.8939806951750239,0.34408377967497616,5.614617881399999,5.9591575151,-0.34453963370000107
6,6,31.120603015075375,1.2366200607250002,0.8930497072250247,0.34357035349997544,5.6138127095,5.95767980005,-0.34386709054999987
7,7,36.14070351758794,1.236521323,0.8933589012500248,0.34316242174997524,5.6139881676000005,5.957420621850002,-0.34343245425000113
8,8,41.1608040201005,1.235704354875,0.8926730119750235,0.3430313428999765,5.614014466425,5.9564288141,-0.3424143476749997
9,9,46.18090452261306,1.2358207838000002,0.8930133152750244,0.3428074685249758,5.614521991525001,5.956284118450001,-0.3417621269250004
10,10,51.201005025125625,1.2367361821500003,0.8948271277750254,0.3419090543749749,5.616073062600001,5.958093096600001,-0.3420200339999999
11,11,56.22110552763819,1.2371292901250002,0.8958122384500246,0.3413170516749756,5.61650158635,5.958638356174999,-0.3421367698249993
12,12,61.24120603015075,1.237752069375,0.8968294309750252,0.3409226383999747,5.6168732461249995,5.959195845075,-0.34232259895000094
13,13,66.26130653266331,1.2370150428500002,0.8968368770000239,0.3401781658499763,5.616679828025001,5.9588564436,-0.34217661557499923
14,14,71.28140703517587,1.2367905075,0.8960157118000238,0.34077479569997626,5.615906982475,5.957448567075001,-0.3415415846000007
15,15,76.30150753768844,1.23618571045,0.8960654211250243,0.34012028932497573,5.617364838625001,5.957398512750001,-0.3400336741250003
16,16,81.321608040201,1.235192192875,0.8957476080000254,0.33944458487497464,5.617393590275001,5.956539963400001,-0.33914637312499973
17,17,86.34170854271356,1.2338939045750001,0.895624066050025,0.33826983852497516,5.617648084475,5.9561852877,-0.338537203225
18,18,91.36180904522612,1.2342509474000003,0.8967610194750233,0.337489927924977,5.6186058390500015,5.956911050975,-0.3383052119249985
19,19,96.38190954773869,1.23366318925,0.8966195548250242,0.33704363442497587,5.618310338625,5.956264396975,-0.33795405835000025
20,20,101.40201005025125,1.2340372960500001,0.8971305046000236,0.3369067914499765,5.6194894765250005,5.956553697475001,-0.3370642209500003
21,21,106.42211055276381,1.234905383275,0.8983600969250253,0.3365452863499748,5.620598088875002,5.95711689385,-0.33651880497499853
22,22,111.44221105527637,1.2335933914500001,0.8977523814000233,0.3358410100499768,5.620172783425001,5.9564619368,-0.33628915337499965
23,23,116.46231155778894,1.2331748659250001,0.8980766864500248,0.33509817947497533,5.620498802775001,5.956450492049999,-0.3359516892749985
24,24,121.4824120603015,1.232933808075,0.8985581825250242,0.3343756255499759,5.62042531035,5.9564967726999996,-0.33607146234999963
25,25,126.50251256281406,1.2326596999750001,0.8981790531750238,0.33448064679997636,5.620918370275001,5.9558866904,-0.33496832012499844
26,26,131.52261306532662,1.232115172125,0.8982263680250244,0.3338888040999757,5.620615079250001,5.955356111825,-0.3347410325749989
27,27,136.5427135678392,1.2319847963500001,0.8985857502250247,0.3333990461249754,5.620561835450001,5.954695301275,-0.3341334658249986
28,28,141.56281407035175,1.230784146025,0.8984525555500236,0.3323315904749764,5.621569586075001,5.954983310625,-0.33341372454999885
29,29,146.5829145728643,1.2303434539000002,0.8980716435250244,0.3322718103749758,5.620771820125001,5.95444025225,-0.3336684321249992
30,30,151.60301507537687,1.2307666373500001,0.8988767928000237,0.3318898445499764,5.621833422725,5.954840089825,-0.3330066670999994
31,31,156.62311557788945,1.230148633525,0.899204009075024,0.3309446244499761,5.623020437325,5.955237310075001,-0.332216872750001
32,32,161.643216080402,1.229545401775,0.8987549849000243,0.3307904168749758,5.62210494515,5.95472481905,-0.3326198738999997
33,33,166.66331658291455,1.22834932485,0.8985422986750236,0.32980702617497637,5.622640276525001,5.954651149025,-0.33201087249999883
34,34,171.68341708542712,1.2283217990250002,0.8988049106750242,0.32951688834997594,5.62327914545,5.954503672625,-0.3312245271750003
35,35,176.7035175879397,1.2292037818750001,0.8989826509250228,0.3302211309499773,5.624012196725,5.953863184399999,-0.3298509876749991
36,36,181.72361809045225,1.229510704875,0.8994189988500242,0.33009170602497584,5.625469121775,5.95355941515,-0.3280902933750003
37,37,186.7437185929648,1.228737725425,0.899381738250024,0.32935598717497605,5.6256299281,5.952428595824999,-0.326798667724999
38,38,191.76381909547737,1.2284171743999999,0.8998258154750244,0.3285913589249755,5.6262754848,5.953691811600001,-0.32741632680000077
39,39,196.78391959798995,1.2266952641750002,0.8990639399250248,0.32763132424997543,5.625969200875,5.952659506075,-0.32669030520000053
40,40,201.8040201005025,1.226486950325,0.8997993426500234,0.3266876076749766,5.626183262925,5.9528534832250015,-0.32667022030000137
41,41,206.82412060301505,1.2254005848500003,0.8995347351500241,0.3258658496999761,5.626274439850001,5.952963954625001,-0.3266895147749995
42,42,211.84422110552762,1.22559557635,0.9004914316500238,0.32510414469997617,5.626494007374999,5.95296118245,-0.3264671750750008
