,time,temp,z_Ba_layer0,z_S_layer0,z_diff_layer0,z_Ba_layer1,z_S_layer1,z_diff_layer1,z_Ba_layer2,z_S_layer2,z_diff_layer2
0,0,1.0,1.2810409707421875,0.8599927597265946,0.42104821101559287,5.877288615820313,5.877618933359375,-0.00033031753906165306,10.474486006992187,10.895423738007814,-0.42093773101562704
1,1,6.0201005025125625,1.2810531409765626,0.8604862239062818,0.4205669170702808,5.877502332968751,5.877698528046875,-0.0001961950781241839,10.474869192226564,10.895446204257812,-0.42057701203124864
2,2,11.040201005025125,1.2817030520703125,0.8615042379297195,0.420198814140593,5.8788015165234375,5.8788183533593745,-1.6836835937006356e-05,10.4760942921875,10.896481777070314,-0.42038748488281286
3,3,16.060301507537687,1.27931298734375,0.8597693010937841,0.41954368624996596,5.876978058124999,5.876918972304688,5.908582031111109e-05,10.4743215384375,10.894372844804685,-0.4200513063671849
4,4,21.08040201005025,1.280984870390625,0.8619233305078474,0.4190615398827776,5.879456655703125,5.8790511287500005,0.00040552695312445763,10.477006797421875,10.896607125898438,-0.41960032847656237
5,5,26.100502512562812,1.2788443319140623,0.86023718042972,0.41860715148434235,5.877549063359376,5.877271431015625,0.00027763234375033363,10.475447640859375,10.894556764570313,-0.4191091237109372
6,6,31.120603015075375,1.2792286801953126,0.861064581523469,0.41816409867184356,5.877857372851563,5.877959502929688,-0.00010213007812520658,10.476473876445313,10.895053377695312,-0.4185795012499991
7,7,36.14070351758794,1.2792145912109376,0.8616659916406586,0.417548599570279,5.878200668359375,5.878453039492188,-0.00025237113281306733,10.477522759804689,10.89524820921875,-0.41772544941406053
8,8,41.1608040201005,1.2778410490625,0.8607309660937851,0.417110082968715,5.877036373398438,5.877532248085938,-0.0004958746875001196,10.476995107265626,10.894451829492187,-0.41745672222656083
9,9,46.18090452261306,1.278608955859375,0.8616322941015967,0.41697666175777826,5.878149038710937,5.878266474335938,-0.00011743562500043936,10.478407612695312,10.89494774640625,-0.4165401337109387
10,10,51.201005025125625,1.27795732546875,0.8615618785937824,0.41639544687496755,5.877585238750001,5.877896094492188,-0.00031085574218714385,10.477371838359375,10.894502188710938,-0.4171303503515631
11,11,56.22110552763819,1.2783466281640625,0.8629010817969074,0.41544554636715514,5.878894011210937,5.878832382500001,6.162871093629008e-05,10.479486665390624,10.895613472617189,-0.4161268072265649
12,12,61.24120603015075,1.2778138837109374,0.8624443686328462,0.41536951507809117,5.878287334257813,5.878211444609375,7.588964843741053e-05,10.479686383984376,10.894288916015626,-0.41460253203124964
13,13,66.26130653266331,1.277163801015625,0.8624309997265952,0.4147328012890298,5.878297106250001,5.878059836757813,0.00023726949218794147,10.48128106761719,10.894287387929687,-0.4130063203124976
14,14,71.28140703517587,1.2759693242578125,0.8619831246875346,0.41398619957027794,5.877631306992187,5.8772713360546875,0.00035997093749973175,10.481604109882813,10.89330759328125,-0.411703483398437
