v [cm$^{-1}$]    I [$\AA^{4}$ amu$^{-1}$]
    52.406628                    3.458753
    52.426200                    3.459939
   114.218542                    3.162731
   121.158130                    0.087169
   121.228480                    0.088950
   314.503259                  895.624663
