v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
    21.300000                       0.173071          0.000033
    21.400000                       0.185264          0.000036
    21.500000                       0.198918          0.000038
    21.600000                       0.214277          0.000041
    21.700000                       0.231638          0.000045
    21.800000                       0.251365          0.000049
    21.900000                       0.273909          0.000053
    22.000000                       0.299834          0.000058
    22.100000                       0.329851          0.000064
    22.200000                       0.364869          0.000070
    22.300000                       0.406063          0.000078
    22.400000                       0.454971          0.000088
    22.500000                       0.513642          0.000099
    22.600000                       0.584850          0.000113
    22.700000                       0.672416          0.000130
    22.800000                       0.781727          0.000151
    22.900000                       0.920550          0.000178
    23.000000                       1.100399          0.000212
    23.100000                       1.338852          0.000258
    23.200000                       1.663660          0.000321
    23.300000                       2.120203          0.000409
    23.400000                       2.785177          0.000537
    23.500000                       3.790529          0.000732
    23.600000                       5.354469          0.001033
    23.700000                       7.752687          0.001496
    23.800000                      10.921486          0.002108
    23.900000                      13.658374          0.002636
    24.000000                      15.008715          0.002896
    24.100000                      15.298860          0.002952
    24.200000                      13.351188          0.002577
    24.300000                       9.779213          0.001887
    24.400000                       6.702824          0.001294
    24.500000                       4.648661          0.000897
    24.600000                       3.342609          0.000645
    24.700000                       2.495985          0.000482
    24.800000                       1.926807          0.000372
    24.900000                       1.529630          0.000295
    25.000000                       1.243018          0.000240
    25.100000                       1.030088          0.000199
    25.200000                       0.867901          0.000167
    25.300000                       0.741693          0.000143
    25.400000                       0.641657          0.000124
    25.500000                       0.561088          0.000108
    25.600000                       0.495292          0.000096
    25.700000                       0.440901          0.000085
    25.800000                       0.395456          0.000076
    25.900000                       0.357126          0.000069
    26.000000                       0.324530          0.000063
    26.100000                       0.296607          0.000057
    26.200000                       0.272535          0.000053
    26.300000                       0.251671          0.000049
    26.400000                       0.233505          0.000045
    26.500000                       0.217630          0.000042
    26.600000                       0.203722          0.000039
    26.700000                       0.191521          0.000037
    26.800000                       0.180820          0.000035
    26.900000                       0.171453          0.000033
    27.000000                       0.163294          0.000032
    27.100000                       0.156252          0.000030
    27.200000                       0.150266          0.000029
    27.300000                       0.145311          0.000028
    27.400000                       0.141398          0.000027
    27.500000                       0.138586          0.000027
    27.600000                       0.136993          0.000026
    27.700000                       0.136822          0.000026
    27.800000                       0.138403          0.000027
    27.900000                       0.142260          0.000027
    28.000000                       0.149235          0.000029
    28.100000                       0.160710          0.000031
    28.200000                       0.179008          0.000035
    28.300000                       0.208153          0.000040
    28.400000                       0.255185          0.000049
    28.500000                       0.331810          0.000064
    28.600000                       0.452101          0.000087
    28.700000                       0.605948          0.000117
    28.800000                       0.698541          0.000135
    28.900000                       0.634232          0.000122
    29.000000                       0.485508          0.000094
    29.100000                       0.351077          0.000068
    29.200000                       0.258814          0.000050
    29.300000                       0.199776          0.000039
    29.400000                       0.161504          0.000031
    29.500000                       0.135735          0.000026
    29.600000                       0.117653          0.000023
    29.700000                       0.104467          0.000020
    29.800000                       0.094522          0.000018
    29.900000                       0.086799          0.000017
    30.000000                       0.080647          0.000016
    30.100000                       0.075639          0.000015
    30.200000                       0.071486          0.000014
    30.300000                       0.067984          0.000013
    30.400000                       0.064989          0.000013
    30.500000                       0.062396          0.000012
    30.600000                       0.060127          0.000012
    30.700000                       0.058123          0.000011
    30.800000                       0.056338          0.000011
    30.900000                       0.054737          0.000011
    31.000000                       0.053291          0.000010
    31.100000                       0.051978          0.000010
    31.200000                       0.050780          0.000010
    31.300000                       0.049682          0.000010
    31.400000                       0.048671          0.000009
    31.500000                       0.047738          0.000009
    31.600000                       0.046873          0.000009
    31.700000                       0.046070          0.000009
    31.800000                       0.045322          0.000009
    31.900000                       0.044624          0.000009
    32.000000                       0.043971          0.000008
    32.100000                       0.043360          0.000008
    32.200000                       0.042786          0.000008
    32.300000                       0.042246          0.000008
    32.400000                       0.041739          0.000008
    32.500000                       0.041261          0.000008
    32.600000                       0.040810          0.000008
    32.700000                       0.040385          0.000008
    32.800000                       0.039983          0.000008
    32.900000                       0.039603          0.000008
    33.000000                       0.039244          0.000008
    33.100000                       0.038904          0.000008
    33.200000                       0.038583          0.000007
    33.300000                       0.038278          0.000007
    33.400000                       0.037990          0.000007
    33.500000                       0.037717          0.000007
